controller,time_s,target_x_px,target_y_px,end_effector_x_px,end_effector_y_px,target_error_px,q_error_norm_rad,sliding_norm,tracking_lyapunov,augmented_lyapunov,clearance_px,reference_clearance_px,collision,saturated,q1,q2,q3,dq1,dq2,dq3,q_d1,q_d2,q_d3,dq_d1,dq_d2,dq_d3,dq_r1,dq_r2,dq_r3,ddq_r1,ddq_r2,ddq_r3,tau1,tau2,tau3,tau_raw1,tau_raw2,tau_raw3,inertia_hat1,inertia_hat2,inertia_hat3,damping_hat1,damping_hat2,damping_hat3,bias_hat1,bias_hat2,bias_hat3,mass_hat1,mass_hat2,mass_hat3,disturbance1,disturbance2,disturbance3
adaptive,0.0,180.0,0.0,194.8797128556252,42.559990903722436,45.08612514278416,0.0,0.0,0.0,0.5062500000000001,1000000.0,1000000.0,0,0,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.45,0.08,0.06,0.05,0.0,0.0,0.0,,,,0.0,0.0,0.0
adaptive,0.01,179.99706001200497,0.24499799917156867,194.89175845694973,42.456039330448064,44.76185934516766,0.00338416466727333,0.6862762630343575,0.23549328088744897,0.7408067519697434,1000000.0,1000000.0,0,0,0.19836352582582162,0.10256698913870244,-0.2014782048350119,-0.32519167713603087,0.5066013497110028,-0.2848238593635605,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.009818845045071356,-0.015401934832214081,0.008869229010070256,1.9297048458407104,-3.0353174231903037,1.650110778001436,8.31981988009781,-10.749910410261053,4.252625717616038,8.31981988009781,-10.749910410261053,4.252625717616038,1.2,0.8,0.45,0.08,0.06,0.05,0.0,0.0,0.0,,,,0.0,0.0,0.0
adaptive,0.02,179.98824019207876,0.48998399349019783,195.1589223554289,42.983656935742715,45.12052567761721,0.10278383687962481,19.999279754913232,199.99087761620297,229.20295280523692,1000000.0,1000000.0,0,1,0.21364135920606664,0.04683847983818623,-0.11310260893893531,3.4221711260353844,-11.795386541558086,15.0,0.19999785547830262,0.10000042906750783,-0.20000588323781798,-0.00021445216975474884,4.2906750757132784e-05,-0.0005883237817992725,-0.08207547453633884,0.31901460212668675,-0.5220079695750953,-20.596365432771517,70.78655782617236,-90.17910397495963,-80.0,60.0,-40.0,-87.62534739331365,250.66270929795613,-226.44941666292362,1.205171771424484,0.8126755653162928,0.45387700904439887,0.07945528683216856,0.058677762157484145,0.0495817460055051,-0.001340042088724409,0.002088013138172868,-0.001174772353494523,,,,0.0,0.0,0.0
adaptive,0.03,179.9735409723907,0.7349459786911836,196.37812780793072,31.90633046216707,35.22450396899088,0.13021572003767667,26.75558613815227,357.93917286491546,456.8367765405932,1000000.0,1000000.0,0,1,0.11652865997865058,0.17699181980767031,-0.26377121018089866,-15.0,15.0,-15.0,0.19998950576025099,0.10000225624864711,-0.20002932387886307,-0.0008349718051615662,0.00018271811395015151,-0.002344064104487585,0.49993010288444084,-0.46175466324018904,0.38010725370772597,89.89572709383253,-89.97362065014195,89.69497497001586,80.0,-60.0,40.0,438.9390465307016,-937.7065630513248,902.0601735450948,1.7825697198398642,7.6729696220114185,8.0,0.019494629157247548,0.0,0.0,0.012676944313562484,-0.04636959143656623,0.06091325952480587,,,,0.0,0.0,0.0
adaptive,0.04,179.95296307319967,0.9798719516862635,198.57626176779394,22.127517244832266,28.17889557297796,0.1343964668751087,24.60225399859003,302.6444821107238,423.92461335328017,1000000.0,1000000.0,0,1,0.09782606775553626,0.06722171797901133,-0.11912553325760644,12.20185294167971,-15.0,15.0,0.19997122973466563,0.10000661173390402,-0.20008186058444366,-0.001827602558526445,0.00043554852569368044,-0.0052536705580597245,0.6110433693162498,0.1971449110550498,-0.490991634519083,-73.35517013702548,90.04072245193507,-90.4365892484841,-80.0,60.0,-40.0,-795.4266106226482,963.4646207651449,-909.3840064326117,8.0,8.0,8.0,0.0,0.0,0.0,-0.049322776097975286,0.015477427216394536,-0.0006071694900250391,,,,0.0,0.0,0.0
adaptive,0.05,179.92650750281865,1.2247499111517666,197.37410802547808,24.479768527866767,29.072575648918118,0.16703860311876462,26.945967603779806,363.0565359994414,494.24089233268035,1000000.0,1000000.0,0,1,0.07465838165049554,0.18652212791660894,-0.2688988329873241,-15.0,15.0,-15.0,0.19993964502192085,0.10001477813523918,-0.2001749040125378,-0.0031584712744871235,0.0008166401335026677,-0.009304342809417061,0.7485291089540648,-0.5182274585547159,0.4030392310393007,89.81755228900089,-89.94274844687199,89.42616089493406,80.0,-60.0,40.0,1002.0169018109887,-967.7883157594235,900.184401134896,8.0,8.0,8.0,0.0,0.0,0.0,-0.0029595378085214355,-0.04531115242782567,0.061356797048051304,,,,0.0,0.0,0.0
adaptive,0.06,179.89417555756518,1.469567858116675,199.2640614422198,14.26474729184657,23.214415692105774,0.16591330232185506,24.21300016942004,293.1484522141111,412.8567364908497,1000000.0,1000000.0,0,1,0.053540186136268986,0.07815532901658528,-0.1252861991091434,11.741525156051763,-15.0,15.0,0.19989171062084088,0.10002817970780686,-0.2003197487454531,-0.004793440108009139,0.0013401572567726533,-0.014484473291511528,0.8733157067994222,0.13257726140410214,-0.46468577110936976,-70.66834868227745,90.07592489090904,-90.71686806461697,-80.0,60.0,-40.0,-760.9086058905174,962.7118735523316,-911.3109184103721,8.0,8.0,8.0,0.0,0.0,0.0,-0.06595365424433769,0.0167617574063932,-0.0002553598761059067,,,,0.0,0.0,0.0
adaptive,0.07,179.85596882169824,1.7143137965505713,198.15893704508494,16.11252680539865,23.287489852589637,0.21034247156323674,27.151811167921785,368.63254682691274,500.60415052032846,1000000.0,1000000.0,0,1,0.02802489586875323,0.19644577647053785,-0.27425893596557316,-15.0,15.0,-15.0,0.19982473250922883,0.10004836967511155,-0.20052758960085493,-0.0066978111611973035,0.0020189967304566903,-0.020784085540190546,1.0241012086816563,-0.5763654440421011,0.4216039926481188,89.74598627353132,-89.9033245071891,89.13417752788163,80.0,-60.0,40.0,1006.4241927609677,-968.4046746105472,898.0710647516222,8.0,8.0,8.0,0.0,0.0,0.0,-0.02248081644732832,-0.04376855163922321,0.06160338320833157,,,,0.0,0.0,0.0
adaptive,0.08,179.81188916734013,1.9589757339514413,199.6621193410763,5.444093519185206,20.153850349927158,0.2074991371947614,23.81584173410208,283.6186866978675,401.7666836065766,1000000.0,1000000.0,0,1,0.004359728910708682,0.08954861974234696,-0.1317225517185867,11.249621894417517,-15.0,15.0,0.19973637171166692,0.10007701579365902,-0.20080954225214454,-0.008836079756212256,0.002864611854738297,-0.028195265128962865,1.163423777049537,0.06603498816261066,-0.4427172083303098,-67.78431308849981,90.11941118804907,-91.02090310861068,-80.0,60.0,-40.0,-723.7394935993402,961.9933124048573,-913.4797483360869,8.0,8.0,8.0,0.0,0.0,0.0,-0.08657722128205494,0.018536910136945195,-8.303276226091089e-05,,,,0.0,0.0,0.0
adaptive,0.09,179.76193875438514,2.203541681933306,198.61767006967668,6.75708171787462,19.397766116060538,0.2596045049049133,27.37406893415613,374.70352225544934,507.5377412542918,1000000.0,1000000.0,0,1,-0.023623775942962055,0.20673275814726688,-0.27983720151539293,-15.0,15.0,-15.0,0.19962465438975885,0.10011588426389828,-0.20117666805521806,-0.011171732190786543,0.0038868470239447617,-0.036712580307331925,1.328318849805539,-0.6358143962762668,0.4352506204537173,89.68343447350178,-89.85598566969101,88.817633588818,80.0,-60.0,40.0,1011.4234475133264,-968.9791884681326,895.7023883199175,8.0,8.0,8.0,0.0,0.0,0.0,-0.04623242881258302,-0.04172722981570525,0.06168783607106033,,,,0.0,0.0,0.0
adaptive,0.1,179.70612003039355,2.4479996568136464,199.6439679754001,-4.372026492514584,21.072032112630307,0.2573294443395881,23.417690564300973,274.2272249041375,390.8594734020535,1000000.0,1000000.0,0,1,-0.04995012372866725,0.10136226162871864,-0.13841307448447493,10.729502788364043,-15.0,15.0,0.19948798355451558,0.10016682205895444,-0.2016400029512253,-0.013667083524321555,0.005093779505598001,-0.04633348960071193,1.4829615601747754,-0.002078857912987203,-0.4256950604012142,-64.72062594317546,90.17034115615164,-91.35052535180832,-80.0,60.0,-40.0,-684.0912039485987,961.3086514948359,-915.9124903728703,8.0,8.0,8.0,0.0,0.0,0.0,-0.11154570421180518,0.02081602776939983,-5.3166410754541815e-05,,,,0.0,0.0,0.0
adaptive,0.11,179.64443573047163,2.6923376802006067,198.61233496403386,-3.615409644771754,19.989219035526798,0.31459459037108334,27.613598328584118,381.3048912043372,515.0849403702464,1000000.0,1000000.0,0,1,-0.08049292612641423,0.21734442447469782,-0.2856145351254509,-15.0,15.0,-15.0,0.19932515204808787,0.10023173770192217,-0.20221059028865263,-0.016283150642774247,0.006491564296778496,-0.05705873374275231,1.6626253184042383,-0.6961845563398754,0.44336493527803716,89.63266060301926,-89.80177929302971,88.47425003724187,80.0,-60.0,40.0,1017.0631000947294,-969.5140115888767,893.0527299074406,8.0,8.0,8.0,0.0,0.0,0.0,-0.0745595392990481,-0.03917565679894823,0.06164961383085032,,,,0.0,0.0,0.0
adaptive,0.12,179.57688887713772,2.936543779579928,199.06073158847818,-15.19925106924671,26.618173896775517,0.3143094221232174,23.026672827920436,265.1632259684624,380.36073943230724,1000000.0,1000000.0,0,1,-0.10957332282093679,0.11354623551705734,-0.14533012858598449,10.185588465741816,-15.0,15.0,0.1991353564923477,0.10031258047700886,-0.20289951738211043,-0.018979555574015206,0.008084277508674742,-0.06889270934576841,1.8332725203056919,-0.07131765273161611,-0.41430904212252406,-61.50089794999967,90.2274532470064,-91.70846748469563,-80.0,60.0,-40.0,-642.207660577275,960.6549344509189,-918.639324537125,8.0,8.0,8.0,0.0,0.0,0.0,-0.14121004057266506,0.02360908142641127,-0.00012384591026183556,,,,0.0,0.0,0.0
adaptive,0.13,179.50348278017412,3.1806059889016027,197.98283921271755,-15.00868011412352,25.92945705368099,0.3752069505419159,27.871127003393358,388.47025034750874,523.286974810061,1000000.0,1000000.0,0,1,-0.14273098450155386,0.22823378040322684,-0.2915672606826103,-15.0,15.0,-15.0,0.19891821195439707,0.10041131801029124,-0.2037179555984303,-0.021714453795061983,0.009873753328218215,-0.0818438216319787,2.0281807249406434,-0.7570610210293953,0.44525200887310123,89.59671044567384,-89.74219188443087,88.10083790284197,80.0,-60.0,40.0,1023.3887373911132,-970.0144057639545,890.0881939389549,8.0,8.0,8.0,0.0,0.0,0.0,-0.10780077679092057,-0.03610564796266227,0.061533390258228265,,,,0.0,0.0,0.0
adaptive,0.14,179.42422103646493,3.424512349166206,197.7433323506351,-27.01965132199577,35.53078863433031,0.37782770613026223,22.650279265005725,256.588952279134,370.4667946996969,1000000.0,1000000.0,0,1,-0.17465013359407022,0.12611835420529705,-0.15244433767813526,9.619417651216509,-15.0,15.0,0.198673767133291,0.10052991210313333,-0.20467720373148657,-0.024444482110620003,0.011859409284216471,-0.09592481330564012,2.2154989222535475,-0.1416712433287658,-0.409322009625748,-58.13119664997801,90.28902095840397,-92.09837416927479,-80.0,60.0,-40.0,-598.1441968214667,960.01850517785,-921.69860985193,8.0,8.0,8.0,0.0,0.0,0.0,-0.17591349969068315,0.026922596121455318,-0.00024761777726414747,,,,0.0,0.0,0.0
adaptive,0.15,179.33910752981967,3.668250909010887,196.54936800181204,-27.394628313546498,35.5119068920413,0.44143035404423475,28.147604557567437,396.2412515433314,532.1921003766024,1000000.0,1000000.0,0,1,-0.21045969469274928,0.2394172442476692,-0.29766762396565616,-15.0,15.0,-15.0,0.19840251992718327,0.1006702926462455,-0.205788734393487,-0.027124720610772313,0.014038054311203085,-0.11115306620004967,2.4260485671088228,-0.8184436552973391,0.4401202712329653,89.57885741165784,-89.67920970858536,87.69330105911696,80.0,-60.0,40.0,1030.4460313259963,-970.4962654345351,886.76646205747,8.0,8.0,8.0,0.0,0.0,0.0,-0.1462978247748313,-0.03251071890522962,0.06138967026123884,,,,0.0,0.0,0.0
adaptive,0.16,179.24814643078324,3.9118097252949813,195.50671939963385,-39.77695618911121,46.615978613638696,0.44761438713901114,22.292772256511686,248.58402676013552,361.2817756389988,1000000.0,1000000.0,0,1,-0.24534068579236878,0.13930459153126007,-0.1597967281445034,9.022409887423043,-15.0,15.0,0.19810543329460772,0.10083432938591219,-0.20706424310985572,-0.02970866325754762,0.01640367396667719,-0.12755087163687695,2.630968051264311,-0.21441789890541008,-0.4111559614289908,-54.556664161417686,90.35277336017019,-92.52478450991461,-80.0,60.0,-40.0,-551.2832643231554,959.360737443159,-925.131776805641,8.0,8.0,8.0,0.0,0.0,0.0,-0.2160020190432666,0.030763055715959733,-0.0003708108236930227,,,,0.0,0.0,0.0
adaptive,0.17,179.1513421964312,4.155176863685223,194.1159330115808,-40.711740118543744,47.296714661328075,0.5134226551343991,28.415125314824817,403.84147474000173,540.8578487046797,1000000.0,1000000.0,0,1,-0.28388252275838655,0.2511027113267579,-0.3037866357854013,-14.952825532568824,15.0,-15.0,0.1977839513762989,0.10102380125721577,-0.2085156997542339,-0.03214819183088902,0.018947187130378573,-0.1451456644378104,2.8578506529772234,-0.881526273286874,0.4264799517491942,89.2995283961662,-89.61541872836561,87.24667103969264,80.0,-60.0,40.0,1035.1788347608572,-970.9993909268264,883.0298539255094,8.0,8.0,8.0,0.0,0.0,0.0,-0.19043625169863168,-0.02837927268841864,0.06127381302202295,,,,0.0,0.0,0.0
adaptive,0.18,179.04869957015168,4.3983403992405234,192.16750111474101,-53.340403567636294,59.21034967671508,0.523196389522561,21.974645538210915,241.57939049601117,353.32356832373785,1000000.0,1000000.0,0,1,-0.32142588217750223,0.15309884608784952,-0.16745482163385983,8.436443525739227,-15.0,15.0,0.19744001589316396,0.10124036294340488,-0.21015540189597992,-0.034393548313503164,0.02165616861889963,-0.16397021417461538,3.078801840110494,-0.2894947302477682,-0.42017369574733593,-51.024997747557514,90.41577339144789,-92.99307641483901,-80.0,60.0,-40.0,-504.3758533653365,958.6591246152141,-928.9862635608952,8.0,8.0,8.0,0.0,0.0,0.0,-0.26167895644081585,0.035146832404728864,-0.00043210678497383054,,,,0.0,0.0,0.0
adaptive,0.19,178.94022358141285,4.641288416996294,190.51176969849325,-54.73796800365125,60.496254203121794,0.5905469323747309,28.659044595408687,410.8447914004805,548.7737242317955,1000000.0,1000000.0,0,1,-0.36235062985537425,0.2632768309569742,-0.31003173895314884,-14.839419864943867,15.0,-15.0,0.1970760828797049,0.10148550826756741,-0.21199602955070507,-0.036393301345914564,0.024514532416244572,-0.18406276547252848,3.32016697506456,-0.946233403720196,0.40415149094213415,88.64805919820645,-89.55414897758877,86.75518826175761,80.0,-60.0,40.0,1036.2972850955016,-971.549231091559,878.8300753973685,8.0,8.0,8.0,0.0,0.0,0.0,-0.24024838969830092,-0.023695188674280075,0.06124858799801552,,,,0.0,0.0,0.0
