controller,time_s,target_x_px,target_y_px,end_effector_x_px,end_effector_y_px,target_error_px,q_error_norm_rad,sliding_norm,tracking_lyapunov,augmented_lyapunov,clearance_px,reference_clearance_px,collision,saturated,q1,q2,q3,dq1,dq2,dq3,q_d1,q_d2,q_d3,dq_d1,dq_d2,dq_d3,dq_r1,dq_r2,dq_r3,ddq_r1,ddq_r2,ddq_r3,tau1,tau2,tau3,tau_raw1,tau_raw2,tau_raw3,inertia_hat1,inertia_hat2,inertia_hat3,damping_hat1,damping_hat2,damping_hat3,bias_hat1,bias_hat2,bias_hat3,mass_hat1,mass_hat2,mass_hat3,disturbance1,disturbance2,disturbance3
adaptive,0.0,180.0,0.0,194.8797128556252,42.559990903722436,45.08612514278416,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.45,0.08,0.06,0.05,0.0,0.0,0.0,,,,0.0,0.0,0.0
adaptive,0.01,179.99706001200497,0.24499799917156867,194.89212735433668,42.4557967075334,44.76175330268507,0.0032128530347904027,0.6463356659937097,0.20888005778007773,0.17321135430823492,1000000.0,1000000.0,0,0,0.19844857866096532,0.10240344640062382,-0.20146251900886059,-0.3080879163877812,0.4722001023946387,-0.2744377138677927,0.20000000000000018,0.10000000000000009,-0.20000000000000018,0.0,0.0,0.0,0.009308528034209118,-0.014420678403742393,0.008775114053162447,1.8270822813512124,-2.828909939292119,1.587793905026829,7.880987703906258,-10.020728438064115,4.099339306620145,7.880987703906258,-10.020728438064115,4.099339306620145,1.2,0.8,0.45,0.08,0.06,0.05,0.0,0.0,0.0,,,,0.0,0.0,0.0
adaptive,0.02,179.98824019207876,0.48998399349019783,195.31556906782833,42.617901785819654,44.82954904951259,0.1366199311957258,22.23833359670254,247.28107308191437,157.42090601214315,1000000.0,1000000.0,0,1,0.21497976762405724,0.030116731023338783,-0.08357213960628673,3.6076701788262486,-14.890956721804036,15.0,0.19999785547830262,0.10000042906750783,-0.20000588323781798,-0.00021445216975474884,4.2906750757132784e-05,-0.0005883237817992725,-0.09010592504428244,0.41934509501577144,-0.6991907855709868,-21.7093597495167,89.35997890764806,-90.17910397495963,-80.0,60.0,-40.0,-92.42379796507974,316.5586248311997,-228.54999919975296,1.2046392753581383,0.8110128509077331,0.45359746881598645,0.0795110699538457,0.05885108808739822,0.049611378594836705,-0.0012695857776879613,0.0019464831231935245,-0.0011328513116838207,,,,0.0,0.0,0.0
adaptive,0.03,179.9735409723907,0.7349459786911836,196.67144543423066,29.619074874662743,33.36334688690321,0.13857116010976728,26.80696820214771,359.31637307868635,362.09915158412895,1000000.0,1000000.0,0,1,0.11128602683530353,0.17105747940629135,-0.27930614585600555,-15.0,15.0,-15.0,0.19998950576025099,0.10000225624864711,-0.20002932387886307,-0.0008349718051615662,0.00018271811395015151,-0.002344064104487585,0.5313859017445232,-0.42614862083191524,0.4733168677583673,89.89572709383253,-89.97362065014195,89.69497497001586,80.0,-60.0,40.0,445.38321699569616,-966.5480484103022,903.1779382613968,1.8468500890548711,8.0,8.0,0.012809287064295558,0.0,0.0,0.013521518637794164,-0.059294724144085716,0.06166391183060013,,,,0.0,0.0,0.0
adaptive,0.04,179.95296307319967,0.9798719516862635,198.47453168866446,23.871400799536588,29.446062503658002,0.1547106490151567,26.33106662240615,346.67450242925497,373.28735621082745,1000000.0,1000000.0,0,1,0.11739519381376606,0.03554271054430602,-0.08623552268243184,15.0,-15.0,15.0,0.19997122973466563,0.10000661173390402,-0.20008186058444366,-0.001827602558526445,0.00043554852569368044,-0.0052536705580597245,0.493628612966871,0.3872189556632816,-0.6883316979701306,-90.14405248694722,90.04072245193507,-90.4365892484841,-80.0,60.0,-40.0,-982.2185008372048,966.5188730357538,-911.752465007874,8.0,8.0,8.0,0.0,0.0,0.0,-0.04860402496918392,0.0024098703392419624,-0.00022935564043334578,,,,0.0,0.0,0.0
adaptive,0.05,179.92650750281865,1.2247499111517666,196.90850142572867,27.77303338953978,31.515067400318266,0.1499374932333462,26.86646416763418,360.9146890613243,392.3968288048026,1000000.0,1000000.0,0,1,0.09969146441146925,0.17602725003585595,-0.2817448634152,-15.0,15.0,-15.0,0.19993964502192085,0.10001477813523918,-0.2001749040125378,-0.0031584712744871235,0.0008166401335026677,-0.009304342809417061,0.5983306123882225,-0.45525819127019795,0.4801154136065562,89.81755228900089,-89.94274844687199,89.42616089493406,80.0,-60.0,40.0,999.3009478744161,-966.7669796298156,901.1081481515997,8.0,8.0,8.0,0.0,0.0,0.0,0.009421460578948597,-0.059139005483411174,0.06252397115144719,,,,0.0,0.0,0.0
adaptive,0.06,179.89417555756518,1.469567858116675,198.6956425316206,21.886063834938437,27.754791808768367,0.1577557836760909,26.270306393611886,345.0769424507644,371.63240091478684,1000000.0,1000000.0,0,1,0.10501212389133885,0.040900432835434763,-0.08901538739742154,15.0,-15.0,15.0,0.19989171062084088,0.10002817970780686,-0.2003197487454531,-0.004793440108009139,0.0013401572567726533,-0.014484473291511528,0.564484080269003,0.35610663849100527,-0.6823106413797009,-90.21919774596688,90.07592489090904,-90.71686806461697,-80.0,60.0,-40.0,-981.5398966610225,966.3024233158467,-913.9232757229893,8.0,8.0,8.0,0.0,0.0,0.0,-0.05297186187060429,0.0026820272816696286,0.0006035094970209612,,,,0.0,0.0,0.0
adaptive,0.07,179.85596882169824,1.7143137965505713,197.12843632221893,25.91043262789633,29.728610799315,0.16154707893331569,26.922533065921016,362.4244420721612,394.0109215817108,1000000.0,1000000.0,0,1,0.08794490399962829,0.1811505026381659,-0.2842103638939695,-15.0,15.0,-15.0,0.19982473250922883,0.10004836967511155,-0.20052758960085493,-0.0066978111611973035,0.0020189967304566903,-0.020784085540190546,0.664581159896406,-0.4845938010478694,0.4813125602184967,89.74598627353132,-89.9033245071891,89.13417752788163,80.0,-60.0,40.0,999.9255808645775,-966.9213544750064,898.7858381936124,8.0,8.0,8.0,0.0,0.0,0.0,0.0047702018083197045,-0.058742399272294396,0.06333275206253977,,,,0.0,0.0,0.0
adaptive,0.08,179.81188916734013,1.9589757339514413,198.89764107902755,19.877932994350196,26.17928485147135,0.1620685818632342,26.213159663724014,343.5780028905574,370.02901081727384,1000000.0,1000000.0,0,1,0.09244023180963845,0.04642753033330882,-0.09183479151086571,15.0,-15.0,15.0,0.19973637171166692,0.10007701579365902,-0.20080954225214454,-0.008836079756212256,0.002864611854738297,-0.028195265128962865,0.6349407596559585,0.3247615246168395,-0.6820437695766358,-90.28658172199471,90.11941118804907,-91.02090310861068,-80.0,60.0,-40.0,-980.8058319793191,966.1482779223301,-916.3531576056267,8.0,8.0,8.0,0.0,0.0,0.0,-0.05788812283126592,0.003195975931897084,0.0014075018216657825,,,,0.0,0.0,0.0
adaptive,0.09,179.76193875438514,2.203541681933306,197.3305449074119,24.03298343513618,28.02107152513349,0.1733028845273494,26.974887289579794,363.8372890876595,395.57843064141514,1000000.0,1000000.0,0,1,0.0760536491474002,0.18642765272321826,-0.2867007878946968,-15.0,15.0,-15.0,0.19962465438975885,0.10011588426389828,-0.20117666805521806,-0.011171732190786543,0.0038868470239447617,-0.036712580307331925,0.7302542992633654,-0.5139837637319751,0.4764321387295404,89.68343447350178,-89.85598566969101,88.817633588818,80.0,-60.0,40.0,1000.6124810606246,-967.013522507073,896.1941186983986,8.0,8.0,8.0,0.0,0.0,0.0,-0.0004278858698897464,-0.058103070166570285,0.06413567689997234,,,,0.0,0.0,0.0
