controller,augmented_lyapunov_drop_fraction,augmented_lyapunov_final,augmented_lyapunov_initial,augmented_lyapunov_max_positive_step,augmented_lyapunov_positive_step_count,collision_count,final_bias_error_norm,final_bias_hat,final_damping_error_norm,final_damping_hat,final_inertia_error_norm,final_inertia_hat,final_mass_error_norm,final_mass_hat,final_q_error_norm_rad,final_sliding_norm,final_target_error_px,max_external_torque,max_sliding_norm,max_target_error_px,mean_target_error_px,min_clearance_px,rms_external_torque,rms_torque,saturation_fraction,tail_max_target_error_px,tail_mean_q_error_norm_rad,tail_mean_sliding_norm,tail_mean_target_error_px,tail_success_fraction,tracking_lyapunov_final,tracking_lyapunov_initial,tracking_lyapunov_tail_mean
adaptive,,1405.0815637945304,0.0,450.56439158718774,603.0,0.0,28.01525263269706,"[-13.766031632593833, -24.398185872249492, 0.2815658136755924]",0.11180339887498948,"[0.0, 0.0, 0.0]",12.453212436957783,"[8.0, 8.0, 8.0]",,,2.923557180073365,28.74796259854238,196.61416649515488,0.0,37.561679558694294,279.0336621216471,176.21584404734102,1000000.0,0.0,104.98986386518479,0.9983347210657785,253.77478156928322,2.2642280823165435,24.58383576957702,226.22142908221963,0.0,417.496270076175,0.0,306.685617324767
adaptive_simp,-28.741578400569026,14.07835063815115,0.47335586728247747,718.9358902648895,429.0,0.0,0.0,"[0.0, 0.0, 0.0]",1.2755013330923632,"[0.9603385462113814, 0.9816331671412587, 0.0]",1.2724988575566256,"[0.21359621427984476, 0.1298543288055749, 0.005966562768931596]",1.1390625236265064,"[2.104224948044648, 0.9342905677247165, 0.44749220766986963]",0.3138797630151371,3.1817953466266724,20.828507948156055,0.0,41.53246440632416,200.80199087356763,45.44351996024116,1000000.0,0.0,52.72605960849553,0.3039134054954205,21.0884495158236,0.3700933970669052,4.119902171512182,11.153221876218067,0.42,5.111171066722793,0.0,10.330168635567988
backstepping_full,,,,0.0,0.0,0.0,,,,,1.3301477421174313,"[0.12589467418151323, 0.15175100084268334, 0.008]",0.0,"[1.0, 0.7, 0.6]",0.01912399487514648,0.19850185013288363,3.474672365709968,0.0,2.0036461789745803,45.08612514278416,7.619811118185294,1000000.0,0.0,7.3248190245631095,0.0,3.474672365709968,0.011268579893977828,0.11877649981091137,2.6961869583221687,1.0,0.01988435584308121,0.0,0.008143474469595307
backstepping_simp,,,,0.0,0.0,0.0,,,,,1.330189417728905,"[0.12577141859033938, 0.15186973383389085, 0.008]",0.0,"[1.0, 0.7, 0.6]",0.008013207061068206,0.10980770319028306,3.1846942572440526,0.0,45.24138233107576,237.75625466094482,43.58576505199428,1000000.0,0.0,37.76584244107461,0.1723563696919234,3.2504030510887874,0.008210457850966328,0.08681185665379157,2.6857921786687724,1.0,0.006060971583664427,0.0,0.004337460081797553
