controller,augmented_lyapunov_drop_fraction,augmented_lyapunov_final,augmented_lyapunov_initial,augmented_lyapunov_max_positive_step,augmented_lyapunov_positive_step_count,collision_count,final_bias_error_norm,final_bias_hat,final_damping_error_norm,final_damping_hat,final_inertia_error_norm,final_inertia_hat,final_mass_error_norm,final_mass_hat,final_q_error_norm_rad,final_sliding_norm,final_target_error_px,max_external_torque,max_sliding_norm,max_target_error_px,mean_target_error_px,min_clearance_px,rms_external_torque,rms_torque,saturation_fraction,tail_max_target_error_px,tail_mean_q_error_norm_rad,tail_mean_sliding_norm,tail_mean_target_error_px,tail_success_fraction,tracking_lyapunov_final,tracking_lyapunov_initial,tracking_lyapunov_tail_mean
adaptive,-1663.435262360134,842.620351569818,0.5062500000000001,573.1048613107033,604.0,0.0,16.45652095318358,"[-12.80978336289523, -10.318072719487166, -0.5137192167298664]",0.09653107819159275,"[0.0, 0.0804511382771569, 0.0]",11.483895886152926,"[8.0, 7.235632426110125, 8.0]",,,2.7415808464079165,31.378044614889905,218.90486240271355,0.0,43.223491690948144,337.2214098405656,169.18414405324688,1000000.0,0.0,104.60868148245868,0.9983347210657785,279.53248322746055,2.1104937783627062,23.922573691704034,241.2467867244543,0.0,496.048974695706,0.0,292.6901651785276
adaptive_simp,-1.804720838936624,29.38465597750259,10.476855867282472,821.4408921364363,274.0,0.0,0.0,"[0.0, 0.0, 0.0]",1.7663858676984832,"[1.48419082579225, 1.1304518477567325, 0.0]",1.6967949085933245,"[0.2670198478038027, 0.31897218590066057, 0.01685588194711643]",1.5737327250120716,"[2.2625663273515872, 1.4716669170200314, 1.264191146033732]",0.34266312833581436,3.7289041414538033,19.692587770233118,0.0,44.82483886210357,199.7523643801536,42.68010927915483,1000000.0,0.0,50.61784362329977,0.2614487926727727,19.692587770233118,0.1958799210230493,2.0271922195279726,7.589028150218649,0.765,7.011072057836107,0.0,2.40943263032346
backstepping_full,,,,0.0,0.0,0.0,,,,,1.8497437381200084,"[0.1290256812772882, 0.1118125943098022, 0.008]",1.1999999999999997,"[1.0, 0.7, 0.6]",1.4399509778072164,13.925506417953196,38.618305297029195,0.0,15.277501636071849,52.79462052652746,39.009722435440274,1000000.0,0.0,14.696805325828077,0.0,52.79462052652746,1.0869142547420756,11.251967409497711,50.35417843802588,0.0,97.9965939074718,0.0,66.84270228466396
backstepping_simp,,,,0.0,0.0,0.0,,,,,1.8384540446594,"[0.14990558128007928, 0.1098905984571872, 0.008]",1.1999999999999997,"[1.0, 0.7, 0.6]",1.4796098215798485,14.421729785653973,65.1562720329358,0.0,48.96637367343985,231.25078575066172,82.80040987568476,1000000.0,0.0,39.001681472624185,0.1623646960865945,85.9242210102198,1.2310980549411294,12.597857539160305,81.40055659513911,0.0,105.08776761726727,0.0,81.77727823695675
