controller,time_s,target_x_px,target_y_px,end_effector_x_px,end_effector_y_px,target_error_px,q_error_norm_rad,sliding_norm,tracking_lyapunov,augmented_lyapunov,clearance_px,reference_clearance_px,collision,saturated,q1,q2,q3,dq1,dq2,dq3,q_d1,q_d2,q_d3,dq_d1,dq_d2,dq_d3,dq_r1,dq_r2,dq_r3,ddq_r1,ddq_r2,ddq_r3,tau1,tau2,tau3,tau_raw1,tau_raw2,tau_raw3,inertia_hat1,inertia_hat2,inertia_hat3,damping_hat1,damping_hat2,damping_hat3,bias_hat1,bias_hat2,bias_hat3,disturbance1,disturbance2,disturbance3
adaptive,0.0,520.0,650.0,209.36655755402424,625.6130144704917,311.5892498611815,0.0,0.0,0.0,384.24242424242425,1000000.0,1000000.0,0,0,-3.141592653589793,-0.5,0.7000000000000002,0.0,0.0,0.0,-3.141592653589793,-0.5,0.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,25.0,-20.0,10.0
adaptive,0.1,519.4004998333631,660.981675831151,214.4571793269199,605.1039751255497,310.02055763713497,0.3606074013704765,4.482543997899669,7.184945594192369,480.8194670915947,1000000.0,1000000.0,0,0,-2.9810579169213485,-0.6970068760244277,0.9558409409087156,2.095531068513425,-1.4373041290129271,2.7897598233681236,-3.141592653589793,-0.5,0.7000000000000002,0.0,0.0,0.0,-0.3210694733368893,0.39401375204885536,-0.5116818818174309,-4.178551217084195,2.7179414188373148,-5.398529158633184,-31.201297199496008,12.60448752273322,-15.121863786086784,-31.201297199496008,12.60448752273322,-15.121863786086784,5.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,29.314829847437828,-13.733384722980134,11.182080826645358
adaptive,0.2,517.607989340949,671.8536263874568,213.2464347826139,582.4258851126685,317.22748431161637,0.35390576066614376,1.401825248127115,0.7237518426315127,380.53740678394166,1000000.0,1000000.0,0,0,-2.878299048198704,-0.6389629277237105,0.894459581669035,0.84043498409127,0.49232041041154617,-0.5818792050198003,-3.1414675443903666,-0.5015666683918854,0.7018099048810309,0.0012510919942655338,-0.01566668391885394,0.01809904881030637,-0.5250859003890599,0.25912583474479645,-0.3672003047657019,-1.653352333610364,-1.4565255711894725,1.6999366628468158,-19.481473051501247,-5.059373362279695,5.4002819900089785,-19.481473051501247,-5.059373362279695,5.4002819900089785,7.019577827070991,3.6968380607993288,3.604063637987469,1.2403907726549432,1.7367839248014696,1.4473862343008834,0.7249801625550942,-0.40288993383359223,0.5282306728296888,32.57323886327107,-12.209218952974439,12.258569893580141
adaptive,0.30000000000000004,514.6403786950727,682.5072227327473,229.87753314073163,557.9832451527378,310.79912998680066,0.8193487800596364,6.872796678111612,14.18755924392079,532.6290265474458,1000000.0,1000000.0,0,0,-2.7283081300602414,-0.8065507681098247,1.3501284121659811,1.6427781587007304,-1.926480397914295,4.708419663430682,-3.1410922806851036,-0.5075388506090572,0.7086196113139276,0.0037526370526300423,-0.05972182217172116,0.06809706432896663,-0.8218156641970943,0.5383020128298138,-1.2149205373751404,-3.256026747095585,3.049212349261202,-8.525329835264191,-38.493459197467715,18.304392834512605,-42.49013331625848,-38.493459197467715,18.304392834512605,-42.49013331625848,7.471115255260839,3.7443896015523106,3.636908285982811,1.0682460442312647,1.7253032798816694,1.4398912030320206,1.1346364278991932,-0.35158712718690727,0.4938820487890331,33.97745487943649,-16.58096095812936,13.133307638509933
adaptive,0.4,510.5273192803462,692.8360176539516,216.3866500559,560.0472737449103,322.72524506264773,0.5527058355218661,7.4197262127431465,25.720291048241435,508.32459880679846,1000000.0,1000000.0,0,1,-2.6462328255623495,-0.7603083228484184,0.6629087531348143,0.6098153688888498,0.09057400019707448,-6.978352155867901,-3.1404967740178344,-0.5203540808484686,0.7229824713762167,0.0059550666726916335,-0.12815230239411574,0.14362860062289057,-0.9825728302382782,0.351756181605784,0.26377603710569536,-1.1990428318017017,-1.3332349946123736,15.190503594368565,-22.029861233758822,-4.343140320554387,60.0,-22.029861233758822,-4.343140320554387,144.5699274554305,9.076071936877215,4.796579896663893,8.18176689043428,0.4609289088824723,1.2504677799394228,0.0,1.8740145747685406,-0.8938392575506113,1.4416164809179648,33.18367684143114,-23.54016354635882,13.728156343868905
adaptive,0.5,505.30990742684475,702.7368092464624,259.9733494220515,583.6518637829205,272.7109292450415,1.6217353986301755,18.22187385535253,116.17734509107018,1328.8982657167353,1000000.0,1000000.0,0,1,-2.799923492713438,-1.194835552966751,2.19196525419368,-1.3262149880689469,-3.3862286371722337,15.0,-3.1398144896242592,-0.5421271349821799,0.7468107522523755,0.006822843935753109,-0.21773054133711506,0.23828280876158875,-0.6729591498858889,1.087686294632027,-2.6520261951210213,2.655346074200602,5.25607856196201,-28.455920179413194,26.263793433226,39.55954346266462,-60.0,26.263793433226,39.55954346266462,-567.8019121729142,9.457940267999016,4.747829485272632,18.082808581596183,0.31526948932272814,1.2528334114344613,0.0,2.3517310345066793,-0.9512993374605274,0.28287597004218923,30.38624929693561,-27.820240941320776,13.989979946416218
adaptive,0.6000000000000001,499.0402737891614,712.1106720734539,230.22528332026468,574.9070046178348,301.80514486016494,0.8565550311854601,12.284721590374138,79.97146840349065,1188.9115695574903,1000000.0,1000000.0,0,1,-2.5878978638676844,-1.1628288109683638,1.0708386788389257,3.394591562034066,1.7272204681461463,-11.634532447055909,-3.1392395011287717,-0.5747093654129736,0.7813141751591708,0.0057498849548732744,-0.32582230430793774,0.3450342290679516,-1.0969333895673015,0.8504165868028426,-0.2340147782915582,-6.812760584177912,-5.343879768023866,25.061720339023335,-60.0,-44.53625722526132,60.0,-95.27402567839637,-44.53625722526132,782.9459630157315,9.804864333072617,8.039964255826366,30.0,0.185315836776441,0.0,0.0,2.155754283051762,-1.935560622457465,3.107200161261553,26.2700800725388,-26.182115900447897,13.89539052351278
adaptive,0.7000000000000001,491.7810624741386,720.863945596146,289.5933382493797,606.7293902598391,232.17788987972918,2.1285505057539,19.94401030796514,130.6264610917559,1882.157000211968,1000000.0,1000000.0,0,1,-2.8407781973630035,-1.7650411562558082,2.595997432801779,-3.99402748794249,-5.853629853452467,15.0,-3.1390152849334796,-0.6196695380749242,0.8268434679337222,0.002242161952920596,-0.4496017266195076,0.455292927745513,-0.5942320131880315,1.8411415097422603,-3.0830150019906006,7.923744366705872,9.456240622538184,-28.062877967166774,60.0,60.0,-60.0,143.079614591749,114.75264168502162,-897.4185013552342,15.924801163696898,8.695939088911304,30.0,0.0,0.0,0.0,3.5032117685321724,-1.7426637685619384,1.2831173342592568,21.842950950793416,-19.865488796125195,13.452837466595495
adaptive,0.8,483.60480512165987,728.9091699989475,246.00850458505798,583.1503395429103,278.74296167722525,1.1154691018850043,13.672745188179334,110.21530585259549,1393.57877942034,1000000.0,1000000.0,0,1,-2.5674000662186396,-1.4498147736218487,1.4496717858641013,4.441316543155814,5.355240153003516,-12.253609021015585,-3.139479018069037,-0.6781478670481524,0.8826381224816959,-0.0046373313555743145,-0.5847832897322809,0.5579465454797332,-1.1487952350563693,0.9585505234151117,-0.5761207812850775,-9.01561442902999,-13.27364273180691,26.434754907715558,-60.0,-60.0,60.0,-228.1703371451042,-264.7953757118952,823.8987122160804,21.31262321190445,18.882844425321274,30.0,0.0,0.0,0.0,2.4832731261058347,-3.4355134684647783,4.176399734577753,18.188777542228646,-13.650657089206774,12.701852722204602
adaptive,0.9,474.5931961924797,736.1659600590232,309.7026741461535,594.8382508925802,217.1690715524305,2.3865430387313213,20.199508074843926,126.93770667322629,2007.5196059905375,1000000.0,1000000.0,0,1,-2.734421395227678,-1.9580723340621227,2.964482421658129,-3.406506773847855,-6.242837343638938,15.0,-3.141179818004667,-0.7505621544847338,0.9465492147769181,-0.01700799935629549,-0.7241428743658127,0.6391109229522252,-0.8305248449102733,1.690877484788965,-3.3967554908101967,6.5600263825169725,9.715962573323276,-28.27914246208467,60.0,60.0,-60.0,208.09637638956517,297.05153019784416,-905.8725419511916,30.0,27.053256653732845,30.0,0.0,0.0,0.0,4.16030665956949,-2.4682417499553293,2.3080016162208716,16.202228941014127,-12.240881513239309,11.70951952093532
